step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
32,206.5629119873047,2,cifar10,512,256,1000,vefnlf
128,182.29763793945312,2,cifar10,512,256,1000,vefnlf
256,250.05929565429688,2,cifar10,512,256,1000,vefnlf
1,318.6063232421875,2,mnist,8,4,1000,lf
2,316.4453125,2,mnist,8,4,1000,lf
4,267.9255676269531,2,mnist,8,4,1000,lf
4,205.85128784179688,2,cifar10,256,128,128,default
32,201.32130432128906,2,cifar10,256,128,128,default
64,188.73898315429688,2,cifar10,256,128,128,default
128,184.81761169433594,2,cifar10,256,128,128,default
2,209.41761779785156,4,cifar10,32,8,1000,ef
4,204.36878967285156,4,cifar10,32,8,1000,ef
8,291.74005126953125,4,cifar10,32,8,1000,ef
4,207.3031005859375,2,cifar10,128,64,32,default
16,207.6129150390625,2,cifar10,128,64,32,default
32,194.57452392578125,2,cifar10,128,64,32,default
64,184.1556854248047,2,cifar10,128,64,32,default
1,318.7886047363281,4,mnist,16,4,1000,l
2,319.3794860839844,4,mnist,16,4,1000,l
4,257.86895751953125,4,mnist,16,4,1000,l
4,323.61480712890625,2,mnist,512,256,32,default
64,317.0550537109375,2,mnist,512,256,32,default
128,307.870849609375,2,mnist,512,256,32,default
256,146.2172088623047,2,mnist,512,256,32,default
1,208.90774536132812,2,cifar10,8,4,1000,default
2,216.04537963867188,2,cifar10,8,4,1000,default
4,323.6844482421875,2,cifar10,8,4,1000,default
16,366.5469055175781,nan,mnist,nan,nan,1000,default
32,354.9608154296875,nan,mnist,nan,nan,1000,default
128,238.01361083984375,nan,mnist,nan,nan,1000,default
4,206.8857421875,2,cifar10,1024,512,128,default
64,206.1315155029297,2,cifar10,1024,512,128,default
128,202.63400268554688,2,cifar10,1024,512,128,default
512,183.51239013671875,2,cifar10,1024,512,128,default
4,324.09033203125,32,mnist,1024,32,1000,default
8,319.7975769042969,32,mnist,1024,32,1000,default
16,309.96978759765625,32,mnist,1024,32,1000,default
32,183.82420349121094,32,mnist,1024,32,1000,default
4,323.92059326171875,2,mnist,256,128,500,default
32,315.85321044921875,2,mnist,256,128,500,default
64,312.3783874511719,2,mnist,256,128,500,default
128,202.01295471191406,2,mnist,256,128,500,default
4,204.71824645996094,2,cifar10,512,256,1000,default
64,200.12901306152344,2,cifar10,512,256,1000,default
128,179.0319061279297,2,cifar10,512,256,1000,default
256,223.56092834472656,2,cifar10,512,256,1000,default
4,207.735107421875,2,cifar10,512,256,1000,ef
32,206.1891326904297,2,cifar10,512,256,1000,ef
128,179.4239959716797,2,cifar10,512,256,1000,ef
256,214.50100708007812,2,cifar10,512,256,1000,ef
4,322.6205749511719,2,mnist,64,32,128,default
8,316.470458984375,2,mnist,64,32,128,default
16,308.17327880859375,2,mnist,64,32,128,default
32,187.87863159179688,2,mnist,64,32,128,default
